ČÍSLO FAKTURY,IČO SPOLEČNOSTI,ČÁSTKA (V CELÝCH KČ)
150000,02838109,1843778
150001,05159822,1532067
150002,05159822,2286309
150003,33828139,2687283
150004,9831829,771408
150005,05159822,172893
150006,9831829,868232
150007,05159822,917528
150008,18539217,1834746
150009,05159822,761233
150010,9831829,1776803
150011,18539217,1673041
150012,18581928,1058008
150013,67821984,1126587
150014,67821984,947573
150015,06230932,471620
150016,33828139,1055221
150017,05159822,1582699
150018,01846359,684712
150019,18539217,1717134
150020,18581928,2698629
150021,18581928,1638782
150022,05159822,2010818
150023,33828139,760920
150024,01846359,2738514
150025,02838109,1932677
150026,18539217,1755551
150027,92019399,480222
150028,06230932,371328
150029,05159822,124606
150030,01846359,1489593
150031,06230932,2151277
150032,05159822,903996
150033,05159822,351825
150034,9831829,2311947
150035,02838109,1015405
150036,05159822,2274744
150037,33828139,945700
150038,02838109,2138443
150039,02838109,11371
150040,18539217,1684929
150041,18539217,594751
150042,02838109,566462
150043,9831829,1732204
150044,33828139,2168046
150045,05159822,548058
150046,67821984,1657917
150047,67821984,2000470
150048,18539217,2093717
150049,02838109,2950854
150050,05159822,2312954
150051,18539217,327504
150052,01846359,2975200
150053,67821984,2258497
150054,18539217,2424682
150055,18581928,555501
150056,18539217,2951566
150057,33828139,2589637
150058,18581928,1198967
150059,33828139,1465555
150060,01846359,876435
150061,05159822,2393036
150062,33828139,2855023
150063,92019399,-10830
150064,05159822,-2455
150065,18539217,2143295
150066,9831829,2478061
150067,33828139,2452108
150068,06230932,2104256
150069,67821984,2801428
150070,9831829,2933752
150071,06230932,460115
150072,01846359,975178
150073,9831829,1443986
150074,67821984,642725
150075,02838109,169302
150076,9831829,599073
150077,33828139,596169
150078,06230932,1635997
150079,18581928,390894
150080,02838109,259286
150081,18581928,29577
150082,02838109,942573
150083,02838109,2738619
150084,33828139,189328
150085,06230932,1463712
150086,33828139,895031
150087,18539217,2986579
150088,9831829,20640
150089,92019399,708214
150090,9831829,2613828
150091,67821984,1957921
150092,67821984,1413660
150093,33828139,1937852
150094,18581928,1173926
150095,33828139,645886
150096,05159822,1270225
150097,05159822,221564
150098,05159822,1004263
150099,33828139,1473295
150100,67821984,-129
150101,01846359,182707
150102,92019399,1430087
150103,18581928,809963
150104,9831829,2702870
150105,05159822,2725353
150106,92019399,1605649
150107,05159822,1183398
150108,18581928,1504094
150109,18539217,2199489
150110,02838109,56238
150111,92019399,2604071
150112,92019399,1388859
150113,06230932,2108323
150114,02838109,2995889
150115,67821984,2466890
150116,05159822,2908162
150117,92019399,1036024
150118,02838109,1370794
150119,18539217,970844
150120,67821984,1404717
150121,18539217,1717712
150122,67821984,372773
150123,9831829,2386917
150124,33828139,2922741
150125,06230932,60136
150126,33828139,1760424
150127,06230932,1161868
150128,06230932,239405
150129,67821984,41720
150130,67821984,580831
150131,33828139,2543176
150132,18539217,731597
150133,06230932,1841438
150134,92019399,42270
150135,18581928,2660518
150136,9831829,2386870
150137,18581928,1425220
150138,67821984,265894
150139,02838109,2256442
150140,33828139,310556
150141,02838109,2421914
150142,67821984,2387019
150143,01846359,462014
150144,06230932,2412398
150145,01846359,2232489
150146,92019399,2953642
150147,92019399,204387
150148,18539217,1271862
150149,05159822,2521561
150150,05159822,2648237
150151,01846359,2550509
150152,92019399,686146
150153,06230932,2403420
150154,92019399,1092341
150155,01846359,77276
150156,67821984,1699037
150157,06230932,1891905
150158,9831829,381296
150159,05159822,2187930
150160,06230932,2228661
150161,33828139,2966264
150162,01846359,1676016
150163,05159822,2102444
150164,01846359,270978
150165,18539217,1469259
150166,9831829,206037
150167,02838109,2131552
150168,06230932,1431744
150169,67821984,547069
150170,67821984,2166858
150171,18539217,2535747
150172,9831829,88771
150173,06230932,1177990
150174,01846359,1798769
150175,9831829,1637597
150176,18539217,485139
150177,02838109,145950
150178,92019399,1150995
150179,05159822,1727134
150180,92019399,1051486
